"","tmin","prcp","swe","enso","nao","total_exp","rel_var","mean_arr_true","nn_count","cell"
"var_exp_cm",0.0669100941115988,0.00936786251720593,0,0.0355798295527181,0.0274126553175363,0.150098792952893,7.7900387457044,95.1844118035386,20,3672
"var_exp_cm.1",0.193713905958133,0.0103307245494263,0.0612690144524868,0.0218022530754794,0.0193331622246003,0.343465993265273,8.03441740326175,114.239642454177,96,590
"var_exp_cm.2",0.229242734700132,0.00821300900266257,0.0583663966927861,0.0231363780929481,0.0186894170531818,0.373423325795463,8.21775831924063,115.460726850015,92,591
"var_exp_cm.3",0.140109493576552,0.0118568077384273,0.0226591083104153,0.0278991130674922,0.0306864862286707,0.254458358952321,6.70174565470143,110.119085578666,63,616
"var_exp_cm.4",0.130803344971996,0.0103244618563737,0.0310773448555706,0.0254067719805106,0.0302792998199055,0.24055123419926,7.46496322647735,111.286479426117,67,617
"var_exp_cm.5",0.164045485236665,0.0114476393156748,0.0458503259825289,0.0275779753176971,0.0219620692470401,0.289630063260234,6.78756418918978,114.949471805761,85,618
"var_exp_cm.6",0.165370123150761,0.00889402159102233,0.0487571109243158,0.0257335286175421,0.019901457580767,0.30042648401452,7.42576062883039,114.639773146998,75,619
"var_exp_cm.7",0.172433611071359,0.010094008861463,0.0470714218896339,0.0278085264549515,0.0212666610265749,0.289971862969319,6.71385492615332,116.389313276497,84,620
"var_exp_cm.8",0.0995658080896248,0.015367370015514,0.0077993086711596,0.0302153104251822,0.0342503666173138,0.191562167077015,6.71331172365932,108.766005448578,55,643
"var_exp_cm.9",0.128078496397617,0.019145957380332,0.0112000311520106,0.0308889205702415,0.0372577446578629,0.256673523417604,6.35116400649519,108.960636171727,57,644
"var_exp_cm.10",0.12941609345475,0.0156610737394888,0.0266717640373282,0.0286777897687862,0.0371433261298342,0.275488207210522,6.21674507767813,108.719904438959,65,645
"var_exp_cm.11",0.128761390111516,0.0193189895642998,0.0284284568224572,0.0328536562997542,0.0295202499463188,0.242308465090463,5.93708309784757,111.308965457209,65,646
"var_exp_cm.12",0.157719117367242,0.0150851989922927,0.0334977540228212,0.0320034567815286,0.027613968136072,0.27896543279104,6.19569829394835,113.03275726588,65,647
"var_exp_cm.13",0.183858334996785,0.0136629126824077,0.0343387397008781,0.0336020803101991,0.0271262156268471,0.287854021821275,5.83711488120824,115.75268096626,65,648
"var_exp_cm.14",0.142573696172711,0.0137702565838559,0.0331516464197016,0.0336147216040241,0.0269320302777797,0.25094690482109,5.13221720704409,116.649768893858,66,649
"var_exp_cm.15",0.0782634643541403,0.0111110014095957,0,0.0354183111979269,0.0334294636845667,0.159857407624406,6.32124033341398,102.837623682375,46,670
"var_exp_cm.16",0.104069200259279,0.015260777071066,0.0209947136099329,0.0330429462659334,0.0367666734795681,0.23902442880962,6.32866676266378,104.543551528691,47,671
"var_exp_cm.17",0.0783628332714068,0.0136343789177108,0.0164963017423439,0.0289010403125212,0.0304954142871339,0.192590550139527,7.10893981681088,104.95690160019,51,672
"var_exp_cm.18",0.117293125864846,0.0271683868478381,0.0122508046143144,0.0314444369367109,0.036505421735756,0.227961505334167,5.69861214412238,104.965101384865,52,673
"var_exp_cm.19",0.125408889040955,0.0234408938301733,0.00594998078860823,0.0341616304766461,0.035226929667052,0.2200121322696,5.83091290214197,108.199668681935,53,674
"var_exp_cm.20",0.182284418567438,0.0171361305791202,0.0349291558431948,0.0329008131550898,0.0287369269426138,0.311807988953651,6.03540258210623,111.313264290188,58,675
"var_exp_cm.21",0.119876812258388,0.0155547454320385,0.00554215593283495,0.0367521551870071,0.0262247735942869,0.222768218733612,5.18081350675861,113.053690712739,48,676
"var_exp_cm.22",0.0665874287810463,0.0166833642289914,0,0.0374276359729754,0.0306579202516697,0.153394783137595,6.78465003785255,98.6389631219069,33,697
"var_exp_cm.23",0.0738589476754173,0.0153531872874161,0,0.0400786599884861,0.0393667149098349,0.16930743034658,6.72194468575243,100.636477496047,38,698
"var_exp_cm.24",0.0745007224282622,0.0143372190375531,0,0.0379842974204871,0.0426144561897818,0.178635981151327,6.55555965498551,100.018941732661,33,699
"var_exp_cm.25",0.0922685605191537,0.0144854397001324,0.0182110299913504,0.0317153987278806,0.0390125410418052,0.195833966674218,6.19808923925525,101.819548943085,45,700
"var_exp_cm.26",0.114017381615552,0.0174608966415676,0.00703591888736592,0.0395485094928663,0.0321197641481408,0.218496448274643,5.70577465376438,103.142165824878,44,701
"var_exp_cm.27",0.122079914721786,0.0118852990720743,0.0339894256157072,0.0356629773197333,0.0346731354409426,0.267823551978044,5.56610569305304,104.169765483801,46,702
"var_exp_cm.28",0.090084773665286,0.0108107179853512,0.00757725048039795,0.0367762336496893,0.0333414752262595,0.181757908964165,5.96796333430909,105.989972240578,38,703
"var_exp_cm.29",0.0376950303947228,0.0119599784801498,0,0.029907942695053,0.0268578451691321,0.105364694643783,8.67958339776075,98.4267643488835,19,723
"var_exp_cm.30",0.0494914849629561,0.0102731265685682,0,0.031841824092317,0.0302806116840184,0.124962468699718,8.4726801250778,96.4298850121849,25,724
"var_exp_cm.31",0.0525785505884167,0.00980450096954225,0,0.0243484627111737,0.0285724806697568,0.122548672672899,9.63835077796297,94.6458071398785,36,725
"var_exp_cm.32",0.068860130288028,0.0137278031778808,0,0.0328373051209319,0.0342416294859323,0.157482553097418,7.58224302986969,94.6589879049623,29,726
"var_exp_cm.33",0.0732928254310742,0.0119460423834097,3.48161790230275e-05,0.0383410333631648,0.0387552627112211,0.169502596453822,6.29971655299809,98.6548127296984,31,728
"var_exp_cm.34",0.0762690176434575,0.0121525714955155,4.89327397735452e-06,0.0361945618219747,0.0346226879324538,0.171333193386791,6.52699708319136,101.791364691748,35,729
"var_exp_cm.35",0.0556013082025744,0.00917296935255034,0,0.0358086972340047,0.0306590796611888,0.131200677672106,6.9301736339925,103.108102233107,28,730
"var_exp_cm.36",0.0682634602257403,0.0113195113972309,0,0.0349518004950253,0.0334891363329233,0.146964250531918,6.54917317786678,102.870204480472,23,732
"var_exp_cm.37",0.0862606093733116,0.0100543620641079,0,0.0427468692990831,0.0375621545849311,0.171056125856861,5.91178412156028,105.292636099232,28,733
"var_exp_cm.38",0.180811383364972,0.00847780886773367,0.0358367923711046,0.0137509637063437,0.017902823136169,0.273458432565427,10.0793406603701,123.728811439657,39,114
"var_exp_cm.39",0.216241623209569,0.00658315083981272,0.0487546444118999,0.00911573593448187,0.0126360643010731,0.367080654887819,15.3876880375901,121.728175750186,50,115
"var_exp_cm.40",0.250687056247046,0.00359678765713368,0.0774320437032071,0.00714744863968076,0.011111785115133,0.401102266092385,16.1349232572231,124.174474397177,49,116
"var_exp_cm.41",0.183633891726541,0.00773070308546482,0.113614274134701,0.00885867834037186,0.0118153636738993,0.398077125554167,16.6051513774508,120.326262724499,60,199
"var_exp_cm.42",0.266643368242552,0.0048834514838944,0.0207151285975564,0.00948178947992718,0.0107146127875609,0.361527335320557,16.6199156951839,115.004518991168,53,309
"var_exp_cm.43",0.227578263837631,0.00892120400271956,0.0751446484381891,0.00990649599389634,0.0130617356145227,0.384476444266386,14.8066434118988,122.353881040524,60,310
"var_exp_cm.44",0.174414158885637,0.00410203740459952,0.0471083931152646,0.00965400833370238,0.0114381329961631,0.277835630096449,15.4145484175485,112.023389387742,67,336
"var_exp_cm.45",0.200617748517405,0.00921903629819357,0.0437728214168855,0.00800121745653721,0.0157865471928409,0.301683745678459,10.9320912625233,125.598684864713,45,339
"var_exp_cm.46",0.213440133937115,0.00485429494921407,0.0429978916564005,0.012092054052925,0.0122336645723068,0.330124926632917,13.4712321842183,118.231137933669,46,365
"var_exp_cm.47",0.165656729203353,0.00552718396647966,0.105698015447485,0.0102936315556113,0.0118823758629009,0.367652943972228,14.8261605238369,120.556226417823,104,366
"var_exp_cm.48",0.184973968516018,0.0123245463728659,0.0324799086867105,0.0169038249360179,0.0182141123463769,0.280831186619977,9.97745288950438,122.316107701011,75,392
"var_exp_cm.49",0.157581572315869,0.00613868772815578,0.0854653075679075,0.0104572037460578,0.0120443383282883,0.378170268835143,15.420881427001,119.299513173514,112,479
"var_exp_cm.50",0.165753831377388,0.0057935471184154,0.0862207303811159,0.00948730986941667,0.0100163748821059,0.392647315596606,17.4334780822429,115.931410163415,123,506
"var_exp_cm.51",0.210790837407301,0.00746253843790151,0.0704015148318494,0.0132461738089904,0.0122562650629149,0.43351143670859,14.1427115871731,119.750110069686,86,507
"var_exp_cm.52",0.227133510356134,0.00755014551525834,0.040796405919286,0.00895183216852757,0.0102791277812114,0.37165124561439,15.5631402042742,121.009199150265,62,508
"var_exp_cm.53",0.196769791324548,0.00612752643323678,0.0294504767406769,0.0064179828314891,0.00731382286169611,0.29599968368446,25.1706663731736,120.83510043233,59,512
"var_exp_cm.54",0.222356741401388,0.0114386036201083,0.028100411409034,0.0166958939751381,0.0152095077715994,0.290927602747379,11.3713828934135,125.201228469622,95,513
"var_exp_cm.55",0.286450064283173,0.0109221418278112,0.0134049596883645,0.0197481210544271,0.016473389221278,0.319340554096667,10.0911682716906,128.66619443984,58,514
"var_exp_cm.56",0.19062139687359,0.00677530956128854,0.0796138347860994,0.0150418554397215,0.0134861714542287,0.393267524848908,12.2424931972042,116.042235027658,113,534
"var_exp_cm.57",0.171605655410574,0.00661459037735598,0.0822658287638724,0.012646982215119,0.0112030465831008,0.404690656793903,14.94328931285,119.158548633759,103,535
"var_exp_cm.58",0.170380321793607,0.00738680589395935,0.056021308120783,0.0154480163188159,0.013288001354703,0.308597679103919,11.8866672769078,121.606819024891,88,536
"var_exp_cm.59",0.250102663823026,0.00581096034946124,0.0292720978245811,0.00528520098252217,0.00789589541570526,0.326819328985505,19.490948323328,120.712354222447,37,537
"var_exp_cm.60",0.195042382401263,0.00576010695487109,0.0369675037688645,0.00974089972368363,0.0107142173624345,0.304589558028557,17.119593589,123.764770017805,86,538
"var_exp_cm.61",0.228354246760259,0.0117426129663549,0.0402991677451046,0.0153252242070911,0.0117283733745961,0.353236873342089,11.1362605098414,122.649657425595,101,540
"var_exp_cm.62",0.249105408169974,0.0104127945459313,0.0356996081641275,0.0173091775242571,0.0141080780990107,0.368485665654001,11.9377823304813,120.747669907342,71,541
"var_exp_cm.63",0.177045858978639,0.0090483685020676,0.0657272673713983,0.0175623748105218,0.0157977451127261,0.347050202476078,10.3135148035602,115.676872628954,98,562
"var_exp_cm.64",0.207192370609243,0.00678445651594501,0.0757461733735521,0.0175109604074269,0.0153749508192789,0.39407865069738,10.1590677772083,116.040999752257,114,563
"var_exp_cm.65",0.238161124512372,0.00703631030247796,0.0667733278371069,0.0166997509322981,0.0157993020175074,0.401898817992734,10.7080003666937,118.339828348637,97,564
"var_exp_cm.66",0.237719381553604,0.0070690497765853,0.0429090366546585,0.011667358172125,0.0118131004043839,0.383080390646922,14.0166338277781,117.686258206233,90,565
"var_exp_cm.67",0.25931996389412,0.00905411299498481,0.0463146425460806,0.0156337377533918,0.0129508740618735,0.404900434267332,11.902114480124,117.413024299898,97,566
"var_exp_cm.68",0.218670414492928,0.0112214366432332,0.0524434600907733,0.018803517112902,0.0144721435060226,0.367966234295547,9.23154397715006,119.941101846941,99,567
"var_exp_cm.69",0.269827249281604,0.0125136004641996,0.04020373028758,0.0252540835160503,0.0179411978670297,0.399702772131738,8.16947077754579,118.735473255941,76,568
"var_exp_cm.70",0.224121304389208,0.00860487206355331,0.0465160021726874,0.0234728678776714,0.0203048677489858,0.36836665597474,8.14017155264151,118.191076137286,91,592
"var_exp_cm.71",0.218110486712357,0.00853520000483071,0.0448565915968719,0.0216017105653187,0.0177927871640549,0.337965604427869,8.09644089308947,119.050243356943,88,593
"var_exp_cm.72",0.266554046252142,0.0120589355653612,0.0490440121301877,0.0238775748943021,0.0196015936852649,0.394520342625545,7.97511072984606,116.970091276306,85,594
"var_exp_cm.73",0.260827701614468,0.0162731350343382,0.0392682383782368,0.0288172203748353,0.0207479830244111,0.380231437647682,5.90613839197624,120.779059788048,73,595
"var_exp_cm.74",0.242551984335721,0.00970567308810238,0.0442885885802187,0.02653290087444,0.0185019944267849,0.366873235658076,7.05652486895234,117.781010909601,73,621
"var_exp_cm.75",0.213300201051596,0.0110102086505588,0.0513921853803891,0.0310527616208434,0.0178321146485539,0.359751600920657,7.57809646948097,127.683225625469,49,738
"var_exp_cm.76",0.196570351779506,0.0156500672405035,0.0652720975004949,0.0252198565093212,0.0190265387097543,0.342054471506879,8.10293707984742,127.496387222438,53,739
"var_exp_cm.77",0.15825857266302,0.0158816616989257,0.0338085372750346,0.0177338935154585,0.0140497455402349,0.258254110454944,11.5673304983212,130.323778208336,38,740
"var_exp_cm.78",0.113908577586466,0.00929178677487884,0.0258268389406313,0.0151468557146696,0.0223071282754727,0.216045242124995,9.51577249260234,116.152222602287,62,391
"var_exp_cm.79",0.180831816629151,0.00465405786043621,0.0841605137217674,0.0108159088771102,0.011765364675843,0.372025065566501,14.7662506488577,112.791470609682,82,393
"var_exp_cm.80",0.171802911280502,0.00474561679482503,0.0692604115278283,0.0060336245805416,0.0104745066944511,0.321796870225045,18.5914519142019,114.11177256437,36,395
"var_exp_cm.81",0.0807611093103632,0.0109071869154936,0.0296171879212861,0.0144850832989676,0.0279183946435405,0.165930327879434,8.64884650157218,113.276337925385,50,418
"var_exp_cm.82",0.116176942241255,0.0135462667349321,0.0301217604967167,0.0170278704534723,0.0225340436775329,0.217679389252519,8.48011535924332,120.056081847467,64,419
"var_exp_cm.83",0.153033283885792,0.00524410202476652,0.0685362796682493,0.0116354117158708,0.0157436873384844,0.29043505333817,12.8055544696086,113.112407350937,98,420
"var_exp_cm.84",0.161894004290403,0.00470927589097726,0.0700688968379978,0.0089344007631317,0.0124106458367197,0.32984556609471,15.6468842891689,112.416736307001,59,421
"var_exp_cm.85",0.147421234213386,0.00297628723390213,0.0999496467950713,0.0061225275247182,0.00934322409742628,0.357334411621372,18.9131999899857,116.745715017457,78,422
"var_exp_cm.86",0.0869459822269871,0.00911908121053303,0.00790972082167928,0.0194631252167301,0.0298881841512421,0.160558245395161,7.90505530759185,113.11072833918,49,444
"var_exp_cm.87",0.131921214305105,0.00596207262277164,0.0137709401027892,0.0138782469732238,0.0183568403156013,0.203688999701332,9.97904594672635,110.158163583353,62,445
"var_exp_cm.88",0.0993086017129125,0.0138434868618518,0.0232389286423991,0.0177414344032877,0.0193341595761216,0.206332640200715,8.78391406757148,110.347341499735,38,446
"var_exp_cm.89",0.138620973735842,0.00720996703381733,0.0351846615855141,0.0158253442876165,0.0223135483358842,0.238729441049499,8.75149564131834,118.241537731119,74,447
"var_exp_cm.90",0.156979184492609,0.00452730826635768,0.121298620014581,0.0105778036847819,0.0141925915056706,0.340969432454569,11.6980422294904,114.494458651662,56,448
"var_exp_cm.91",0.159923435982213,0.00299281051964964,0.0988242056446336,0.00790230749698646,0.00836707746300917,0.367326081329304,20.0489084393251,113.875362335571,78,449
"var_exp_cm.92",0.182057523765758,0.00326618469384175,0.108231767504167,0.00532768405343479,0.00891764320401882,0.402062686691951,19.7205525122578,113.763810815858,62,450
"var_exp_cm.93",0.0782244401220348,0.00745829702587292,0.0073779060294227,0.0183556210682398,0.0310114676740164,0.165968814444908,7.23781985501812,113.481950622102,43,473
"var_exp_cm.94",0.108958735212492,0.00518865476079864,0.0290573623544049,0.0144210055202605,0.0192340940228685,0.209251352116864,10.5264236442431,110.828027144024,64,474
"var_exp_cm.95",0.158380354051959,0.00820157248158692,0.0368216657592888,0.0145691219921791,0.018703455116587,0.268456717159098,9.60316656312831,116.236754533032,57,475
"var_exp_cm.96",0.13709436170659,0.00654645006466602,0.0949605421609008,0.0117599996996843,0.01348367842697,0.325103263387301,13.9715678563979,116.341757562287,81,477
"var_exp_cm.97",0.14199470996492,0.00578461264384261,0.0588193071125989,0.00855850012289065,0.0099883036273555,0.31615656748243,18.3546471844949,114.927339945324,94,478
"var_exp_cm.98",0.0893075631219519,0.00913803763524637,0.0277158776550804,0.0155648774677639,0.0253140432466205,0.18471140171111,7.98892773070818,107.653046859754,55,499
